Unique Identifier,Johnson Controls Name,BACnet Name,BACnet Description,BACnet Unit,BACnet Type Str,Ground Truth Point Type,Schema Label,Location,Equipment Type,Equipment Ref,Equipment Subsystems
514_1_3007186,ap m rm 3721a ohtg stpt,nae 14 n2 trunk 2 rhc3 5 ohtg stpt,occupied heating setpoint,64.0,analog output,occupied heating setpoint,occupied heating temperature setpoint,rm 3721a,rhc,,
514_1_3007192,ap m rm 3721 htg vlv,nae 14 n2 trunk 2 rhc3 6 htg vlv,heating valve command,98.0,analog output,heating valve command,heating valve command,rm 3721,rhc,,
514_1_3007195,ap m rm 3721 ohtg stpt,nae 14 n2 trunk 2 rhc3 6 ohtg stpt,occupied heating setpoint,64.0,analog output,occupied heating setpoint,occupied heating temperature setpoint,rm 3721,rhc,,
514_1_3007201,ap m rm 3721 htg vlv,nae 14 n2 trunk 2 rhc3 7 htg vlv,heating valve command,98.0,analog output,heating valve command,heating valve command,rm 3721,rhc,,
514_1_3007204,ap m rm 3721 ohtg stpt,nae 14 n2 trunk 2 rhc3 7 ohtg stpt,occupied heating setpoint,64.0,analog output,occupied heating setpoint,occupied heating temperature setpoint,rm 3721,rhc,,
514_1_3007205,ap m rm 3721 wc adj,nae 14 n2 trunk 2 rhc3 7 wc adj,warm cool adjustment,64.0,analog output,warm cool adjust,warm cool adjust sensor,rm 3721,rhc,,
514_1_3007206,ap m rm 3721 zn t,nae 14 n2 trunk 2 rhc3 7 zn t,zone temperature,64.0,analog output,zone temperature,zone temperature sensor,rm 3721,rhc,,
514_1_3007210,ap m rm 3731 htg vlv,nae 14 n2 trunk 2 rhc3 8 htg vlv,heating valve command,98.0,analog output,heating valve command,heating valve command,rm 3731,rhc,,
514_1_3007213,ap m rm 3731 ohtg stpt,nae 14 n2 trunk 2 rhc3 8 ohtg stpt,occupied heating setpoint,64.0,analog output,occupied heating setpoint,occupied heating temperature setpoint,rm 3731,rhc,,
514_1_3007214,ap m rm 3731 wc adj,nae 14 n2 trunk 2 rhc3 8 wc adj,warm cool adjustment,64.0,analog output,warm cool adjust,warm cool adjust sensor,rm 3731,rhc,,
514_1_3007215,ap m rm 3731 zn t,nae 14 n2 trunk 2 rhc3 8 zn t,zone temperature,64.0,analog output,zone temperature,zone temperature sensor,rm 3731,rhc,,
514_1_3007219,ap m rm 3731a htg vlv,nae 14 n2 trunk 2 rhc3 9 htg vlv,heating valve command,98.0,analog output,heating valve command,heating valve command,rm 3731a,rhc,,
514_1_3007222,ap m rm 3731a ohtg stpt,nae 14 n2 trunk 2 rhc3 9 ohtg stpt,occupied heating setpoint,64.0,analog output,occupied heating setpoint,occupied heating temperature setpoint,rm 3731a,rhc,,
514_1_3007228,ap m rm 3731c htg vlv,nae 14 n2 trunk 2 rhc3 10 htg vlv,heating valve command,98.0,analog output,heating valve command,heating valve command,rm 3731c,rhc,,
514_1_3007231,ap m rm 3731c ohtg stpt,nae 14 n2 trunk 2 rhc3 10 ohtg stpt,occupied heating setpoint,64.0,analog output,occupied heating setpoint,occupied heating temperature setpoint,rm 3731c,rhc,,
514_1_3007237,ap m rm 3731 htg vlv,nae 14 n2 trunk 2 rhc3 11 htg vlv,heating valve command,98.0,analog output,heating valve command,heating valve command,rm 3731,rhc,,
514_1_3007240,ap m rm 3731 ohtg stpt,nae 14 n2 trunk 2 rhc3 11 ohtg stpt,occupied heating setpoint,64.0,analog output,occupied heating setpoint,occupied heating temperature setpoint,rm 3731,rhc,,
514_1_3007246,ap m rm 3741a htg vlv,nae 14 n2 trunk 2 rhc3 12 htg vlv,heating valve command,98.0,analog output,heating valve command,heating valve command,rm 3741a,rhc,,
514_1_3007249,ap m rm 3741a ohtg stpt,nae 14 n2 trunk 2 rhc3 12 ohtg stpt,occupied heating setpoint,64.0,analog output,occupied heating setpoint,occupied heating temperature setpoint,rm 3741a,rhc,,
514_1_3007255,ap m rm 3741 htg vlv,nae 14 n2 trunk 2 rhc3 13 htg vlv,heating valve command,98.0,analog output,heating valve command,heating valve command,rm 3741,rhc,,
514_1_3007258,ap m rm 3741 ohtg stpt,nae 14 n2 trunk 2 rhc3 13 ohtg stpt,occupied heating setpoint,64.0,analog output,occupied heating setpoint,occupied heating temperature setpoint,rm 3741,rhc,,
514_1_3007264,ap m rm 3741 htg vlv,nae 14 n2 trunk 2 rhc3 14 htg vlv,heating valve command,98.0,analog output,heating valve command,heating valve command,rm 3741,rhc,,
514_1_3007267,ap m rm 3741 ohtg stpt,nae 14 n2 trunk 2 rhc3 14 ohtg stpt,occupied heating setpoint,64.0,analog output,occupied heating setpoint,occupied heating temperature setpoint,rm 3741,rhc,,
514_1_3007268,ap m rm 3741 wc adj,nae 14 n2 trunk 2 rhc3 14 wc adj,warm cool adjustment,64.0,analog output,warm cool adjust,warm cool adjust sensor,rm 3741,rhc,,
514_1_3007269,ap m rm 3741 zn t,nae 14 n2 trunk 2 rhc3 14 zn t,zone temperature,64.0,analog output,zone temperature,zone temperature sensor,rm 3741,rhc,,
514_1_3007274,ap m rm 4711 cmax stpt,nae 14 n2 trunk 2 vav4 21 cmax stpt,cooling maximum flow,84.0,analog output,cooling maximum flow,cooling max discharge air flow setpoint,rm 4711,vav,,
514_1_3007275,ap m rm 4711 com stpt,nae 14 n2 trunk 2 vav4 21 com stpt,common setpoint,64.0,analog output,temperature setpoint,temperature setpoint,rm 4711,vav,,
514_1_3007278,ap m rm 4711 omin stpt,nae 14 n2 trunk 2 vav4 21 omin stpt,occupied cooling minimum flow,84.0,analog output,occupied cooling minimum flow,occupied cooling min discharge air flow setpoint,rm 4711,vav,,
514_1_3007282,ap m rm 4711 supflo stpt,nae 14 n2 trunk 2 vav4 21 supflo stpt,supply air flow setpoint,84.0,analog output,supply air flow setpoint,supply air flow setpoint,rm 4711,vav,,
514_1_3007284,ap m rm 4711 zn t,nae 14 n2 trunk 2 vav4 21 zn t,zone temperature,64.0,analog output,zone temperature,zone temperature sensor,rm 4711,vav,,
514_1_3007289,ap m rm 4721 cmax stpt,nae 14 n2 trunk 2 vav4 22 cmax stpt,cooling maximum flow,84.0,analog output,cooling maximum flow,cooling max discharge air flow setpoint,rm 4721,vav,,
514_1_3007290,ap m rm 4721 com stpt,nae 14 n2 trunk 2 vav4 22 com stpt,common setpoint,64.0,analog output,temperature setpoint,temperature setpoint,rm 4721,vav,,
514_1_3007293,ap m rm 4721 omin stpt,nae 14 n2 trunk 2 vav4 22 omin stpt,occupied cooling minimum flow,84.0,analog output,occupied cooling minimum flow,occupied cooling min discharge air flow setpoint,rm 4721,vav,,
514_1_3007297,ap m rm 4721 supflo stpt,nae 14 n2 trunk 2 vav4 22 supflo stpt,supply air flow setpoint,84.0,analog output,supply air flow setpoint,supply air flow setpoint,rm 4721,vav,,
514_1_3007299,ap m rm 4721 zn t,nae 14 n2 trunk 2 vav4 22 zn t,zone temperature,64.0,analog output,zone temperature,zone temperature sensor,rm 4721,vav,,
514_1_3007304,ap m rm 4731 cmax stpt,nae 14 n2 trunk 2 vav4 23 cmax stpt,cooling maximum flow,84.0,analog output,cooling maximum flow,cooling max discharge air flow setpoint,rm 4731,vav,,
514_1_3007305,ap m rm 4731 com stpt,nae 14 n2 trunk 2 vav4 23 com stpt,common setpoint,64.0,analog output,temperature setpoint,temperature setpoint,rm 4731,vav,,
514_1_3007308,ap m rm 4731 omin stpt,nae 14 n2 trunk 2 vav4 23 omin stpt,occupied cooling minimum flow,84.0,analog output,occupied cooling minimum flow,occupied cooling min discharge air flow setpoint,rm 4731,vav,,
514_1_3007312,ap m rm 4731 supflo stpt,nae 14 n2 trunk 2 vav4 23 supflo stpt,supply air flow setpoint,84.0,analog output,supply air flow setpoint,supply air flow setpoint,rm 4731,vav,,
514_1_3007314,ap m rm 4731 zn t,nae 14 n2 trunk 2 vav4 23 zn t,zone temperature,64.0,analog output,zone temperature,zone temperature sensor,rm 4731,vav,,
514_1_3007319,ap m rm 4741 cmax stpt,nae 14 n2 trunk 2 vav4 24 cmax stpt,cooling maximum flow,84.0,analog output,cooling maximum flow,cooling max discharge air flow setpoint,rm 4741,vav,,
514_1_3007320,ap m rm 4741 com stpt,nae 14 n2 trunk 2 vav4 24 com stpt,common setpoint,64.0,analog output,temperature setpoint,temperature setpoint,rm 4741,vav,,
514_1_3007323,ap m rm 4741 omin stpt,nae 14 n2 trunk 2 vav4 24 omin stpt,occupied cooling minimum flow,84.0,analog output,occupied cooling minimum flow,occupied cooling min discharge air flow setpoint,rm 4741,vav,,
514_1_3007327,ap m rm 4741 supflo stpt,nae 14 n2 trunk 2 vav4 24 supflo stpt,supply air flow setpoint,84.0,analog output,supply air flow setpoint,supply air flow setpoint,rm 4741,vav,,
514_1_3007329,ap m rm 4741 zn t,nae 14 n2 trunk 2 vav4 24 zn t,zone temperature,64.0,analog output,zone temperature,zone temperature sensor,rm 4741,vav,,
514_1_3007336,ap m rm 4882 cmax stpt,nae 14 n2 trunk 2 vav4 25 cmax stpt,cooling maximum flow,84.0,analog output,cooling maximum flow,cooling max discharge air flow setpoint,rm 4882,vav,,
514_1_3007337,ap m rm 4882 com stpt,nae 14 n2 trunk 2 vav4 25 com stpt,common setpoint,64.0,analog output,temperature setpoint,temperature setpoint,rm 4882,vav,,
514_1_3007339,ap m rm 4882 htg vlv,nae 14 n2 trunk 2 vav4 25 htg vlv,heating valve command,98.0,analog output,heating valve command,heating valve command,rm 4882,vav,,
514_1_3007342,ap m rm 4882 ocmin stpt,nae 14 n2 trunk 2 vav4 25 ocmin stpt,occupied cooling minimum flow,84.0,analog output,occupied cooling minimum flow,occupied cooling min discharge air flow setpoint,rm 4882,vav,,
514_1_3007343,ap m rm 4882 ohmin stpt,nae 14 n2 trunk 2 vav4 25 ohmin stpt,occupied heating flow,84.0,analog output,occupied heating minimum flow,occupied heating discharge air flow setpoint,rm 4882,vav,,
514_1_3007347,ap m rm 4882 supflo stpt,nae 14 n2 trunk 2 vav4 25 supflo stpt,supply air flow setpoint,84.0,analog output,supply air flow setpoint,supply air flow setpoint,rm 4882,vav,,
514_1_3007354,ap m rm 4701 htg vlv,nae 14 n2 trunk 2 rhc4 1 htg vlv,heating valve command,98.0,analog output,heating valve command,heating valve command,rm 4701,rhc,,
514_1_3007357,ap m rm 4701 ohtg stpt,nae 14 n2 trunk 2 rhc4 1 ohtg stpt,occupied heating setpoint,64.0,analog output,occupied heating setpoint,occupied heating temperature setpoint,rm 4701,rhc,,
514_1_3007363,ap m rm 4711 htg vlv,nae 14 n2 trunk 2 rhc4 2 htg vlv,heating valve command,98.0,analog output,heating valve command,heating valve command,rm 4711,rhc,,
514_1_3007366,ap m rm 4711 ohtg stpt,nae 14 n2 trunk 2 rhc4 2 ohtg stpt,occupied heating setpoint,64.0,analog output,occupied heating setpoint,occupied heating temperature setpoint,rm 4711,rhc,,
514_1_3007372,ap m rm 4711 htg vlv,nae 14 n2 trunk 2 rhc4 3 htg vlv,heating valve command,98.0,analog output,heating valve command,heating valve command,rm 4711,rhc,,
514_1_3007375,ap m rm 4711 ohtg stpt,nae 14 n2 trunk 2 rhc4 3 ohtg stpt,occupied heating setpoint,64.0,analog output,occupied heating setpoint,occupied heating temperature setpoint,rm 4711,rhc,,
514_1_3007376,ap m rm 4711 wc adj,nae 14 n2 trunk 2 rhc4 3 wc adj,warm cool adjustment,64.0,analog output,warm cool adjust,warm cool adjust sensor,rm 4711,rhc,,
514_1_3007377,ap m rm 4711 zn t,nae 14 n2 trunk 2 rhc4 3 zn t,zone temperature,64.0,analog output,zone temperature,zone temperature sensor,rm 4711,rhc,,
514_1_3007381,ap m rm 4711a htg vlv,nae 14 n2 trunk 2 rhc4 4 htg vlv,heating valve command,98.0,analog output,heating valve command,heating valve command,rm 4711a,rhc,,
514_1_3007384,ap m rm 4711a ohtg stpt,nae 14 n2 trunk 2 rhc4 4 ohtg stpt,occupied heating setpoint,64.0,analog output,occupied heating setpoint,occupied heating temperature setpoint,rm 4711a,rhc,,
514_1_3007390,ap m rm 4721a htg vlv,nae 14 n2 trunk 2 rhc4 5 htg vlv,heating valve command,98.0,analog output,heating valve command,heating valve command,rm 4721a,rhc,,
514_1_3007393,ap m rm 4721a ohtg stpt,nae 14 n2 trunk 2 rhc4 5 ohtg stpt,occupied heating setpoint,64.0,analog output,occupied heating setpoint,occupied heating temperature setpoint,rm 4721a,rhc,,
514_1_3007399,ap m rm 4721 htg vlv,nae 14 n2 trunk 2 rhc4 6 htg vlv,heating valve command,98.0,analog output,heating valve command,heating valve command,rm 4721,rhc,,
514_1_3007402,ap m rm 4721 ohtg stpt,nae 14 n2 trunk 2 rhc4 6 ohtg stpt,occupied heating setpoint,64.0,analog output,occupied heating setpoint,occupied heating temperature setpoint,rm 4721,rhc,,
514_1_3007403,ap m rm 4721 wc adj,nae 14 n2 trunk 2 rhc4 6 wc adj,warm cool adjustment,64.0,analog output,warm cool adjust,warm cool adjust sensor,rm 4721,rhc,,
514_1_3007404,ap m rm 4721 zn t,nae 14 n2 trunk 2 rhc4 6 zn t,zone temperature,64.0,analog output,zone temperature,zone temperature sensor,rm 4721,rhc,,
514_1_3007408,ap m rm 4721 htg vlv,nae 14 n2 trunk 2 rhc4 7 htg vlv,heating valve command,98.0,analog output,heating valve command,heating valve command,rm 4721,rhc,,
514_1_3007411,ap m rm 4721 ohtg stpt,nae 14 n2 trunk 2 rhc4 7 ohtg stpt,occupied heating setpoint,64.0,analog output,occupied heating setpoint,occupied heating temperature setpoint,rm 4721,rhc,,
514_1_3007417,ap m rm 4731 htg vlv,nae 14 n2 trunk 2 rhc4 8 htg vlv,heating valve command,98.0,analog output,heating valve command,heating valve command,rm 4731,rhc,,
514_1_3007420,ap m rm 4731 ohtg stpt,nae 14 n2 trunk 2 rhc4 8 ohtg stpt,occupied heating setpoint,64.0,analog output,occupied heating setpoint,occupied heating temperature setpoint,rm 4731,rhc,,
514_1_3007426,ap m rm 4731a htg vlv,nae 14 n2 trunk 2 rhc4 9 htg vlv,heating valve command,98.0,analog output,heating valve command,heating valve command,rm 4731a,rhc,,
514_1_3007429,ap m rm 4731a ohtg stpt,nae 14 n2 trunk 2 rhc4 9 ohtg stpt,occupied heating setpoint,64.0,analog output,occupied heating setpoint,occupied heating temperature setpoint,rm 4731a,rhc,,
514_1_3007435,ap m rm 4731d htg vlv,nae 14 n2 trunk 2 rhc4 10 htg vlv,heating valve command,98.0,analog output,heating valve command,heating valve command,rm 4731d,rhc,,
514_1_3007438,ap m rm 4731d ohtg stpt,nae 14 n2 trunk 2 rhc4 10 ohtg stpt,occupied heating setpoint,64.0,analog output,occupied heating setpoint,occupied heating temperature setpoint,rm 4731d,rhc,,
514_1_3007439,ap m rm 4731d wc adj,nae 14 n2 trunk 2 rhc4 10 wc adj,warm cool adjustment,64.0,analog output,warm cool adjust,warm cool adjust sensor,rm 4731d,rhc,,
514_1_3007440,ap m rm 4731d zn t,nae 14 n2 trunk 2 rhc4 10 zn t,zone temperature,64.0,analog output,zone temperature,zone temperature sensor,rm 4731d,rhc,,
514_1_3007444,ap m rm 4741a htg vlv,nae 14 n2 trunk 2 rhc4 12 htg vlv,heating valve command,98.0,analog output,heating valve command,heating valve command,rm 4741a,rhc,,
514_1_3007447,ap m rm 4741a ohtg stpt,nae 14 n2 trunk 2 rhc4 12 ohtg stpt,occupied heating setpoint,64.0,analog output,occupied heating setpoint,occupied heating temperature setpoint,rm 4741a,rhc,,
514_1_3007453,ap m rm 4741 htg vlv,nae 14 n2 trunk 2 rhc4 13 htg vlv,heating valve command,98.0,analog output,heating valve command,heating valve command,rm 4741,rhc,,
514_1_3007456,ap m rm 4741 ohtg stpt,nae 14 n2 trunk 2 rhc4 13 ohtg stpt,occupied heating setpoint,64.0,analog output,occupied heating setpoint,occupied heating temperature setpoint,rm 4741,rhc,,
514_1_3007462,ap m rm 4741 htg vlv,nae 14 n2 trunk 2 rhc4 14 htg vlv,heating valve command,98.0,analog output,heating valve command,heating valve command,rm 4741,rhc,,
514_1_3007465,ap m rm 4741 ohtg stpt,nae 14 n2 trunk 2 rhc4 14 ohtg stpt,occupied heating setpoint,64.0,analog output,occupied heating setpoint,occupied heating temperature setpoint,rm 4741,rhc,,
514_1_3007466,ap m rm 4741 wc adj,nae 14 n2 trunk 2 rhc4 14 wc adj,warm cool adjustment,64.0,analog output,warm cool adjust,warm cool adjust sensor,rm 4741,rhc,,
514_1_3007467,ap m rm 4741 zn t,nae 14 n2 trunk 2 rhc4 14 zn t,zone temperature,64.0,analog output,zone temperature,zone temperature sensor,rm 4741,rhc,,
514_1_3007477,ap m ef27 vfd freq cmd,nae 14 n2 trunk 2 ef27 vfd freq cmd,frequency command,27.0,analog output,frequency command,frequency command,ef 27,vfd,,
514_1_3007493,ap m ef28 vfd freq cmd,nae 14 n2 trunk 2 ef28 vfd freq cmd,frequency command,27.0,analog output,frequency command,frequency command,ef 28,vfd,,
514_1_3007508,ap m ef27 28 easf stpt,nae 14 n2 trunk 2 ef27 28 easf stpt,exhaust air stack flow setpoint,84.0,analog output,exhaust air stack flow setpoint,exhaust air stack flow setpoint,ef 27 28,eas,,
514_1_3007513,ap m ef27 28 easp stpt,nae 14 n2 trunk 2 ef27 28 easp stpt,exhaust air static pressure setpoint,58.0,analog output,exhaust air static pressure setpoint,exhaust air static pressure setpoint,ef 27 28,eas,,
514_1_3007515,ap m ef27 28 ebd cmd,nae 14 n2 trunk 2 ef27 28 ebd cmd,exhaust bypass damper command,98.0,analog output,exhaust bypass damper command,exhaust bypass damper command,ef 27 28,ebd,,
514_1_3007517,ap m ef27 28 ef cmd,nae 14 n2 trunk 2 ef27 28 ef cmd,exhaust fan 27 28 speed command,98.0,analog output,exhaust fan vfd command,vfd command,ef 27 28,cmd,,
514_1_3007536,ap m ef27 28 easf db,nae 14 n2 trunk 2 ef27 28 tuning parameters easf db,exhaust air stack flow dead band,84.0,analog output,exhaust air stack flow dead band,exhaust air stack flow dead band setpoint,ef 27 28,eas,,
514_1_3007537,ap m ef27 28 easf it,nae 14 n2 trunk 2 ef27 28 tuning parameters easf it,exhaust air stack flow int time,95.0,analog output,exhaust air stack flow integral time,exhaust air stack flow integral time setpoint,ef 27 28,eas,,
514_1_3007538,ap m ef27 28 easf pb,nae 14 n2 trunk 2 ef27 28 tuning parameters easf pb,exhaust air stack flow prop band,84.0,analog output,exhaust air stack flow prop band,exhaust air stack flow proportional band setpoint,ef 27 28,eas,,
514_1_3007539,ap m ef27 28 easp db,nae 14 n2 trunk 2 ef27 28 tuning parameters easp db,exhaust air static pressure dead band,58.0,analog output,exhaust air static pressure dead band,exhaust air static pressure dead band setpoint,ef 27 28,eas,,
514_1_3007540,ap m ef27 28 easp it,nae 14 n2 trunk 2 ef27 28 tuning parameters easp it,exhaust air static pressure int time,95.0,analog output,exhaust air static pressure integral time,exhaust air static pressure integral time setpoint,ef 27 28,eas,,
514_1_3007541,ap m ef27 28 easp pb,nae 14 n2 trunk 2 ef27 28 tuning parameters easp pb,exhaust air static pressure prop band,58.0,analog output,exhaust air static pressure prop band,exhaust air static pressure proportional band setpoint,ef 27 28,eas,,
514_1_3007550,ap m s4 vfd freq cmd,nae 14 n2 trunk 2 vfd 3 freq cmd,frequency command,27.0,analog output,frequency command,frequency command,s 4,vfd,,
514_1_3008174,unoccbia,nae 14 n2 trunk 2 vav4 25 unoccbia,,64.0,analog output,unknown,unknown,,vav,,
514_1_3008175,onochbia,nae 14 n2 trunk 2 vav4 25 onochbia,,64.0,analog output,unknown,unknown,,vav,,
514_1_3008176,cmaxflo,nae 14 n2 trunk 2 vav4 25 cmaxflo,,84.0,analog output,cooling maximum flow,cooling max discharge air flow setpoint,,vav,,
514_1_3008177,ucmnc sp,nae 14 n2 trunk 2 vav4 25 ucmnc sp,,64.0,analog output,unknown,unknown,,vav,,
514_1_3008178,unchmax,nae 14 n2 trunk 2 vav4 25 unchmax,,64.0,analog output,unknown,unknown,,vav,,
514_1_3009022,ap m rm 1844 htg vlv,nae 14 n2 trunk 2 vav 5 htg vlv,heating valve command,98.0,analog output,heating valve command,heating valve command,rm 1844,vav,,
514_1_3009027,ap m rm 1844 common stpt,nae 14 n2 trunk 2 vav 5 common stpt,common setpoint,64.0,analog output,temperature setpoint,temperature setpoint,rm 1844,vav,,
514_1_3009028,ap m rm 1844 supflo stpt,nae 14 n2 trunk 2 vav 5 supflo stpt,supply flow setpoint,84.0,analog output,supply air flow setpoint,supply air flow setpoint,rm 1844,vav,,
514_1_3009029,ap m rm 1844 occhtg stpt,nae 14 n2 trunk 2 vav 5 occhtg stpt,occupied heating setpoint,84.0,analog output,occupied heating setpoint,occupied heating temperature setpoint,rm 1844,vav,,
514_1_3009041,ap m rm 1859 avgzn t,nae 14 n2 trunk 2 vav 6 avgzn t,average zone temperature,64.0,analog output,average zone temperature,average zone temperature sensor,rm 1859,vav,,
514_1_3009042,ap m rm 1859 cmax stpt,nae 14 n2 trunk 2 vav 6 cmax stpt,cooling max setpoint,84.0,analog output,cooling maximum flow,cooling max discharge air flow setpoint,rm 1859,vav,,
514_1_3009043,ap m rm 1859 dmpr cmd,nae 14 n2 trunk 2 vav 6 dmpr cmd,damper command,98.0,analog output,damper command,damper command,rm 1859,vav,,
514_1_3009044,ap m rm 1859 hmax stpt,nae 14 n2 trunk 2 vav 6 hmax stpt,heating max setpoint,84.0,analog output,heating maximum flow,heating max discharge air flow setpoint,rm 1859,vav,,
514_1_3009045,ap m rm 1859 htg vlv,nae 14 n2 trunk 2 vav 6 htg vlv,,98.0,analog output,heating valve command,heating valve command,rm 1859,vav,,
514_1_3009046,ap m rm 1859 ooclg stpt,nae 14 n2 trunk 2 vav 6 ooclg stpt,occupied cooling setpoint,64.0,analog output,occupied cooling setpoint,occupied cooling temperature setpoint,rm 1859,vav,,
514_1_3009047,ap m rm 1859 ocmin stpt,nae 14 n2 trunk 2 vav 6 ocmin stpt,occupied cooling min setpoint,84.0,analog output,occupied cooling minimum flow,occupied cooling min discharge air flow setpoint,rm 1859,vav,,
514_1_3009048,ap m rm 1859 ohmin stpt,nae 14 n2 trunk 2 vav 6 ohmin stpt,occupied heating min setpoint,84.0,analog output,occupied heating minimum flow,occupied heating min discharge air flow setpoint,rm 1859,vav,,
514_1_3009049,ap m rm 1859 ohtg stpt,nae 14 n2 trunk 2 vav 6 ohtg stpt,occupied heating setpoint,64.0,analog output,occupied heating setpoint,occupied heating temperature setpoint,rm 1859,vav,,
514_1_3009054,ap m rm 1859 supflo stpt,nae 14 n2 trunk 2 vav 6 supflo stpt,supply flow setpoint,84.0,analog output,supply air flow setpoint,supply air flow setpoint,rm 1859,vav,,
514_1_3009060,ap m rm 1839 cmax stpt,nae 14 n2 trunk 2 vav 9 cmax stpt,cooling max setpoint,84.0,analog output,cooling maximum flow,cooling max discharge air flow setpoint,rm 1839,vav,,
514_1_3009061,ap m rm 1839 dmpr cmd,nae 14 n2 trunk 2 vav 9 dmpr cmd,damper command,98.0,analog output,damper command,damper command,rm 1839,vav,,
514_1_3009062,ap m rm 1839 hmax stpt,nae 14 n2 trunk 2 vav 9 hmax stpt,heating max setpoint,84.0,analog output,heating maximum flow,heating max discharge air flow setpoint,rm 1839,vav,,
514_1_3009064,ap m rm 1839 htg vlv,nae 14 n2 trunk 2 vav 9 htg vlv,heating valve command,98.0,analog output,heating valve command,heating valve command,rm 1839,vav,,
514_1_3009065,ap m rm 1839 oclg stpt,nae 14 n2 trunk 2 vav 9 oclg stpt,occupied cooling setpoint,64.0,analog output,occupied cooling setpoint,occupied cooling temperature setpoint,rm 1839,vav,,
514_1_3009066,ap m rm 1839 ocmin stpt,nae 14 n2 trunk 2 vav 9 ocmin stpt,occupied cooling min setpoint,84.0,analog output,occupied cooling minimum flow,occupied cooling min discharge air flow setpoint,rm 1839,vav,,
514_1_3009067,ap m rm 1839 ohtg stpt,nae 14 n2 trunk 2 vav 9 ohtg stpt,occuied heating min setpoint,64.0,analog output,occupied heating minimum flow,occupied heating min discharge air flow setpoint,rm 1839,vav,,
514_1_3009070,ap m rm 1839 supflo stpt,nae 14 n2 trunk 2 vav 9 supflo stpt,supply flow setpoint,84.0,analog output,supply air flow setpoint,supply air flow setpoint,rm 1839,vav,,
514_1_3009073,ap m rm 1844 occclg stpt,nae 14 n2 trunk 2 vav 5 occclg stpt,occcupied cooling setpoint,84.0,analog output,occupied cooling setpoint,occupied cooling discharge air flow setpoint,rm 1844,vav,,
514_1_3011240,ap m rm 4721 unoccupied flow stpt,nae 14 n2 trunk 2 vav4 22 ucmnc sp,,84.0,analog output,unoccupied flow setpoint,unoccupied cooling discharge air flow setpoint,rm 4721,vav,,
514_1_3011241,ap m rm 4721 dpr c,nae 14 n2 trunk 2 vav4 22 dpr c,,98.0,analog output,damper command,damper command,rm 4721,vav,,
514_1_3011254,ap m rm 4856 unoccupied flow stpt,nae 14 n2 trunk 2 vav 26 unocc flow sp,,84.0,analog output,unoccupied flow setpoint,unoccupied cooling discharge air flow setpoint,rm 4856,vav,,
514_1_3011255,ap m rm 4882 unoccupied flow stpt,nae 14 n2 trunk 2 vav4 25 unocc flow sp,,84.0,analog output,unoccupied flow setpoint,unoccupied cooling discharge air flow setpoint,rm 4882,vav,,
514_1_3011256,ap m rm 4741 unoccupied flow stpt,nae 14 n2 trunk 2 vav4 24 unocc flow sp,,84.0,analog output,unoccupied flow setpoint,unoccupied cooling discharge air flow setpoint,rm 4741,vav,,
514_1_3011257,ap m rm 4731 unoccupied flow stpt,nae 14 n2 trunk 2 vav4 23 unocc flow sp,,84.0,analog output,unoccupied flow setpoint,unoccupied cooling discharge air flow setpoint,rm 4731,vav,,
514_1_3011258,ap m rm 4711 unoccupied flow stpt,nae 14 n2 trunk 2 vav4 21 unocc flow sp,,84.0,analog output,unoccupied flow setpoint,unoccupied cooling discharge air flow setpoint,rm 4711,vav,,
514_1_3011259,ap m rm 3880 unoccupied flow stpt,nae 14 n2 trunk 2 vav3 25 unocc flow sp,,84.0,analog output,unoccupied flow setpoint,unoccupied cooling discharge air flow setpoint,rm 3880,vav,,
514_1_3011260,ap m rm 3856 unoccupied flow stpt,nae 14 n2 trunk 2 vav 23 unocc flow sp,,84.0,analog output,unoccupied flow setpoint,unoccupied cooling discharge air flow setpoint,rm 3856,vav,,
514_1_3011261,ap m rm 3816 unoccupied flow stpt,nae 14 n2 trunk 2 vav 19 ucmnc sp,,84.0,analog output,unoccupied flow setpoint,unoccupied cooling discharge air flow setpoint,rm 3816,vav,,
514_1_3011262,ap m rm 3741 unoccupied flow stpt,nae 14 n2 trunk 2 vav3 24 unocc flow sp,,84.0,analog output,unoccupied flow setpoint,unoccupied cooling discharge air flow setpoint,rm 3741,vav,,
514_1_3011263,ap m rm 3731 unoccupied flow stpt,nae 14 n2 trunk 2 vav3 23 unocc flow sp,,84.0,analog output,unoccupied flow setpoint,unoccupied cooling discharge air flow setpoint,rm 3731,vav,,
514_1_3011264,ap m rm 3721 unoccupied flow stpt,nae 14 n2 trunk 2 vav3 22 unocc flow sp,,84.0,analog output,unoccupied flow setpoint,unoccupied cooling discharge air flow setpoint,rm 3721,vav,,
514_1_3011265,ap m rm 3711 unoccupied flow stsp,nae 14 n2 trunk 2 vav3 21 unocc flow sp,,84.0,analog output,unoccupied flow setpoint,unoccupied cooling discharge air flow setpoint,rm 3711,vav,,
514_1_3011266,ap m rm 4882 dpr c,nae 14 n2 trunk 2 vav4 25 dpr c,,98.0,analog output,damper command,damper command,rm 4882,vav,,
514_1_3011267,ap m rm 4856 dpr c,nae 14 n2 trunk 2 vav 26 dpr c,,98.0,analog output,damper command,damper command,rm 4856,vav,,
514_1_3011268,ap m rm 4741 dpr c,nae 14 n2 trunk 2 vav4 24 dpr c,,98.0,analog output,damper command,damper command,rm 4741,vav,,
