Unique Identifier,BACnet Device ID,BACnet Object Type,BACnet Object ID,Johnson Controls Name,BACnet Name,BACnet Description,BACnet Unit,Ground Truth Point Type,Schema Label,Point Ref,Location,Equipment Type,Equipment Ref,Equipment Subsystems,Building,Comments,BACnet Type Str
505_1_3001155,505,1,3001155,ebu3b rm 1108 clgpid o,nae 05 n2 2 vma 128 clgpid o,cooling command,98.0,cooling command,cooling command,,rm 1108,vav,1108,,ebu3b,,analog output
506_1_3000078,506,1,3000078,ebu3b rm 2203 clgpid o,nae 06 n2 1 vma128 clgpid o,cooling command,98.0,cooling command,cooling command,,rm 2203,vav,2203,,ebu3b,,analog output
506_1_3001770,506,1,3001770,ebu3b rm 3109 clgpid o,nae 06 n2 2 vma128 clgpid o,cooling command,98.0,cooling command,cooling command,,rm 3109,vav,3109,,ebu3b,,analog output
505_0_3001161,505,0,3001161,ebu3b rm 1110 zn t,nae 05 n2 2 vma 129 zn t,zone temperature,64.0,zone temperature,zone temperature sensor,,rm 1110,vav,1110,,ebu3b,,analog input
506_0_3000084,506,0,3000084,ebu3b rm 2215 zn t,nae 06 n2 1 vma129 zn t,zone temperature,64.0,zone temperature,zone temperature sensor,,rm 2215,vav,2215,,ebu3b,,analog input
506_0_3001776,506,0,3001776,ebu3b rm 4213 zn t,nae 06 n2 2 vma129 zn t,zone temperature,64.0,zone temperature,zone temperature sensor,,rm 4213,vav,4213,,ebu3b,,analog input
505_1_3001169,505,1,3001169,ebu3b rm 1110 commonsp,nae 05 n2 2 vma 129 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm 1110,vav,1110,,ebu3b,,analog output
506_1_3000092,506,1,3000092,ebu3b rm 2215 commonsp,nae 06 n2 1 vma129 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm 2215,vav,2215,,ebu3b,,analog output
506_1_3001784,506,1,3001784,ebu3b rm 4213 commonsp,nae 06 n2 2 vma129 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm 4213,vav,4213,,ebu3b,,analog output
505_1_3026010,505,1,3026010,ebu3b rm 1110 w c adj,nae 05 n2 2 vma 129 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm 1110,vav,1110,,ebu3b,,analog output
506_1_3015683,506,1,3015683,ebu3b rm 2215 w c adj,nae 06 n2 1 vma129 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm 2215,vav,2215,,ebu3b,,analog output
506_1_3015745,506,1,3015745,ebu3b rm 4213 w c adj,nae 06 n2 2 vma129 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm 4213,vav,4213,,ebu3b,,analog output
505_1_3001171,505,1,3001171,ebu3b rm 1110 supflo sp,nae 05 n2 2 vma 129 supflo sp,actual sup flow sp,84.0,supply airflow setpoint,supply air flow setpoint,,rm 1110,vav,1110,,ebu3b,,analog output
506_1_3000094,506,1,3000094,ebu3b rm 2215 supflo sp,nae 06 n2 1 vma129 supflo sp,actual sup flow sp,84.0,supply airflow setpoint,supply air flow setpoint,,rm 2215,vav,2215,,ebu3b,,analog output
506_1_3001786,506,1,3001786,ebu3b rm 4213 supflo sp,nae 06 n2 2 vma129 supflo sp,actual sup flow sp,84.0,supply airflow setpoint,supply air flow setpoint,,rm 4213,vav,4213,,ebu3b,,analog output
505_0_3001167,505,0,3001167,ebu3b rm 1110 sup flow,nae 05 n2 2 vma 129 sup flow,actual supply flow,84.0,supply airflow,supply air flow sensor,,rm 1110,vav,1110,,ebu3b,,analog input
506_0_3000090,506,0,3000090,ebu3b rm 2215 sup flow,nae 06 n2 1 vma129 sup flow,actual supply flow,84.0,supply airflow,supply air flow sensor,,rm 2215,vav,2215,,ebu3b,,analog input
506_0_3001782,506,0,3001782,ebu3b rm 4213 sup flow,nae 06 n2 2 vma129 sup flow,actual supply flow,84.0,supply airflow,supply air flow sensor,,rm 4213,vav,4213,,ebu3b,,analog input
505_1_3001168,505,1,3001168,ebu3b rm 1110 rh vlv,nae 05 n2 2 vma 129 rh vlv,reheat valve command,98.0,reheat valve command,reheat valve command,,rm 1110,vav,1110,,ebu3b,,analog output
506_1_3000091,506,1,3000091,ebu3b rm 2215 rh vlv,nae 06 n2 1 vma129 rh vlv,reheat valve command,98.0,reheat valve command,reheat valve command,,rm 2215,vav,2215,,ebu3b,,analog output
506_1_3001783,506,1,3001783,ebu3b rm 4213 rh vlv,nae 06 n2 2 vma129 rh vlv,reheat valve command,98.0,reheat valve command,reheat valve command,,rm 4213,vav,4213,,ebu3b,,analog output
505_1_3001174,505,1,3001174,ebu3b rm 1110 htgflow,nae 05 n2 2 vma 129 htgflow,occupied htg flow,84.0,minimum occupied heating supply airflow,occupied heating supply air flow setpoint,,rm 1110,vav,1110,,ebu3b,,analog output
506_1_3000097,506,1,3000097,ebu3b rm 2215 htgflow,nae 06 n2 1 vma129 htgflow,occupied htg flow,84.0,minimum occupied heating supply airflow,occupied heating supply air flow setpoint,,rm 2215,vav,2215,,ebu3b,,analog output
506_1_3001789,506,1,3001789,ebu3b rm 4213 htgflow,nae 06 n2 2 vma129 htgflow,occupied htg flow,84.0,minimum occupied heating supply airflow,occupied heating supply air flow setpoint,,rm 4213,vav,4213,,ebu3b,,analog output
505_0_3001165,505,0,3001165,ebu3b rm 1110 acthtgsp,nae 05 n2 2 vma 129 acthtgsp,actual heating setpoint,64.0,actual heating setpoint,effective heating temperature setpoint,,rm 1110,vav,1110,,ebu3b,,analog input
506_0_3000088,506,0,3000088,ebu3b rm 2215 acthtgsp,nae 06 n2 1 vma129 acthtgsp,actual heating setpoint,64.0,actual heating setpoint,effective heating temperature setpoint,,rm 2215,vav,2215,,ebu3b,,analog input
506_0_3001780,506,0,3001780,ebu3b rm 4213 acthtgsp,nae 06 n2 2 vma129 acthtgsp,actual heating setpoint,64.0,actual heating setpoint,effective heating temperature setpoint,,rm 4213,vav,4213,,ebu3b,,analog input
505_0_3001164,505,0,3001164,ebu3b rm 1110 actclgsp,nae 05 n2 2 vma 129 actclgsp,actual cooling setpoint,64.0,actual cooling setpoint,effective cooling temperature setpoint,,rm 1110,vav,1110,,ebu3b,,analog input
506_0_3000087,506,0,3000087,ebu3b rm 2215 actclgsp,nae 06 n2 1 vma129 actclgsp,actual cooling setpoint,64.0,actual cooling setpoint,effective cooling temperature setpoint,,rm 2215,vav,2215,,ebu3b,,analog input
506_0_3001779,506,0,3001779,ebu3b rm 4213 actclgsp,nae 06 n2 2 vma129 actclgsp,actual cooling setpoint,64.0,actual cooling setpoint,effective cooling temperature setpoint,,rm 4213,vav,4213,,ebu3b,,analog input
505_1_3001173,505,1,3001173,ebu3b rm 1110 clgminflo,nae 05 n2 2 vma 129 clgminflo,occupied clg min,84.0,minimum occupied cooling supply airflow,occupied cooling min supply air flow setpoint,,rm 1110,vav,1110,,ebu3b,,analog output
506_1_3000096,506,1,3000096,ebu3b rm 2215 clgminflo,nae 06 n2 1 vma129 clgminflo,occupied clg min,84.0,minimum occupied cooling supply airflow,occupied cooling min supply air flow setpoint,,rm 2215,vav,2215,,ebu3b,,analog output
506_1_3001788,506,1,3001788,ebu3b rm 4213 clgminflo,nae 06 n2 2 vma129 clgminflo,occupied clg min,84.0,minimum occupied cooling supply airflow,occupied cooling min supply air flow setpoint,,rm 4213,vav,4213,,ebu3b,,analog output
505_14_3001179,505,14,3001179,ebu3b rm 1110 occ cmd,nae 05 n2 2 vma 129 occ cmd,occupied command,,occupancy command,occupied command,,rm 1110,vav,1110,,ebu3b,,multi state output
506_14_3000102,506,14,3000102,ebu3b rm 2215 occ cmd,nae 06 n2 1 vma129 occ cmd,occupied command,,occupancy command,occupied command,,rm 2215,vav,2215,,ebu3b,,multi state output
506_14_3001795,506,14,3001795,ebu3b rm 4213 occ cmd,nae 06 n2 2 vma129 occ cmd,occupied command,,occupancy command,occupied command,,rm 4213,vav,4213,,ebu3b,,multi state output
505_1_3001176,505,1,3001176,ebu3b rm 1110 htgpid o,nae 05 n2 2 vma 129 htgpid o,heating command,98.0,heating command,heating command,,rm 1110,vav,1110,,ebu3b,,analog output
506_1_3000099,506,1,3000099,ebu3b rm 2215 htgpid o,nae 06 n2 1 vma129 htgpid o,heating command,98.0,heating command,heating command,,rm 2215,vav,2215,,ebu3b,,analog output
506_1_3001791,506,1,3001791,ebu3b rm 4213 htgpid o,nae 06 n2 2 vma129 htgpid o,heating command,98.0,heating command,heating command,,rm 4213,vav,4213,,ebu3b,,analog output
506_4_3001792,506,4,3001792,ebu3b rm 4213 fan c,nae 06 n2 2 vma129 fan c,fan command,,fan command,fan command,,rm 4213,vav,4213,,ebu3b,,binary output
505_0_3001166,505,0,3001166,ebu3b rm 1110 dmpr pos,nae 05 n2 2 vma 129 dmpr pos,damper position,98.0,damper position,damper position sensor,,rm 1110,vav,1110,,ebu3b,,analog input
506_0_3000089,506,0,3000089,ebu3b rm 2215 dmpr pos,nae 06 n2 1 vma129 dmpr pos,damper position,98.0,damper position,damper position sensor,,rm 2215,vav,2215,,ebu3b,,analog input
506_0_3001781,506,0,3001781,ebu3b rm 4213 dmpr pos,nae 06 n2 2 vma129 dmpr pos,damper position,98.0,damper position,damper position sensor,,rm 4213,vav,4213,,ebu3b,,analog input
505_1_3001170,505,1,3001170,ebu3b rm 1110 dpr c,nae 05 n2 2 vma 129 dpr c,damper command,98.0,damper command,damper command,,rm 1110,vav,1110,,ebu3b,,analog output
506_1_3000093,506,1,3000093,ebu3b rm 2215 dpr c,nae 06 n2 1 vma129 dpr c,damper command,98.0,damper command,damper command,,rm 2215,vav,2215,,ebu3b,,analog output
506_1_3001785,506,1,3001785,ebu3b rm 4213 dpr c,nae 06 n2 2 vma129 dpr c,damper command,98.0,damper command,damper command,,rm 4213,vav,4213,,ebu3b,,analog output
505_1_3001172,505,1,3001172,ebu3b rm 1110 clgmaxflo,nae 05 n2 2 vma 129 clgmaxflo,cooling max flow,84.0,maximum supply airflow,cooling max discharge air flow setpoint,,rm 1110,vav,1110,,ebu3b,,analog output
506_1_3000095,506,1,3000095,ebu3b rm 2215 clgmaxflo,nae 06 n2 1 vma129 clgmaxflo,cooling max flow,84.0,maximum supply airflow,cooling max discharge air flow setpoint,,rm 2215,vav,2215,,ebu3b,,analog output
506_1_3001787,506,1,3001787,ebu3b rm 4213 clgmaxflo,nae 06 n2 2 vma129 clgmaxflo,cooling max flow,84.0,maximum supply airflow,cooling max discharge air flow setpoint,,rm 4213,vav,4213,,ebu3b,,analog output
505_1_3001175,505,1,3001175,ebu3b rm 1110 clgpid o,nae 05 n2 2 vma 129 clgpid o,cooling command,98.0,cooling command,cooling command,,rm 1110,vav,1110,,ebu3b,,analog output
506_1_3000098,506,1,3000098,ebu3b rm 2215 clgpid o,nae 06 n2 1 vma129 clgpid o,cooling command,98.0,cooling command,cooling command,,rm 2215,vav,2215,,ebu3b,,analog output
506_1_3001790,506,1,3001790,ebu3b rm 4213 clgpid o,nae 06 n2 2 vma129 clgpid o,cooling command,98.0,cooling command,cooling command,,rm 4213,vav,4213,,ebu3b,,analog output
505_0_3001181,505,0,3001181,ebu3b rm 1109 zn t,nae 05 n2 2 vma 130 zn t,zone temperature,64.0,zone temperature,zone temperature sensor,,rm 1109,vav,1109,,ebu3b,,analog input
506_0_3000104,506,0,3000104,ebu3b rm 2217 zn t,nae 06 n2 1 vma130 zn t,zone temperature,64.0,zone temperature,zone temperature sensor,,rm 2217,vav,2217,,ebu3b,,analog input
506_0_3001797,506,0,3001797,ebu3b rm 4140 zn t,nae 06 n2 2 vma130 zn t,zone temperature,64.0,zone temperature,zone temperature sensor,,rm 4140,vav,4140,,ebu3b,,analog input
505_1_3001189,505,1,3001189,ebu3b rm 1109 commonsp,nae 05 n2 2 vma 130 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm 1109,vav,1109,,ebu3b,,analog output
506_1_3000112,506,1,3000112,ebu3b rm 2217 commonsp,nae 06 n2 1 vma130 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm 2217,vav,2217,,ebu3b,,analog output
506_1_3001805,506,1,3001805,ebu3b rm 4140 commonsp,nae 06 n2 2 vma130 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm 4140,vav,4140,,ebu3b,,analog output
505_1_3026048,505,1,3026048,ebu3b rm 1109 w c adj,nae 05 n2 2 vma 130 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm 1109,vav,1109,,ebu3b,,analog output
506_1_3015682,506,1,3015682,ebu3b rm 2217 w c adj,nae 06 n2 1 vma130 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm 2217,vav,2217,,ebu3b,,analog output
506_1_3015746,506,1,3015746,ebu3b rm 4140 w c adj,nae 06 n2 2 vma130 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm 4140,vav,4140,,ebu3b,,analog output
505_1_3001191,505,1,3001191,ebu3b rm 1109 supflo sp,nae 05 n2 2 vma 130 supflo sp,actual sup flow sp,84.0,supply airflow setpoint,supply air flow setpoint,,rm 1109,vav,1109,,ebu3b,,analog output
506_1_3000114,506,1,3000114,ebu3b rm 2217 supflo sp,nae 06 n2 1 vma130 supflo sp,actual sup flow sp,84.0,supply airflow setpoint,supply air flow setpoint,,rm 2217,vav,2217,,ebu3b,,analog output
506_1_3001807,506,1,3001807,ebu3b rm 4140 supflo sp,nae 06 n2 2 vma130 supflo sp,actual sup flow sp,84.0,supply airflow setpoint,supply air flow setpoint,,rm 4140,vav,4140,,ebu3b,,analog output
505_0_3001187,505,0,3001187,ebu3b rm 1109 sup flow,nae 05 n2 2 vma 130 sup flow,actual supply flow,84.0,supply airflow,supply air flow sensor,,rm 1109,vav,1109,,ebu3b,,analog input
506_0_3000110,506,0,3000110,ebu3b rm 2217 sup flow,nae 06 n2 1 vma130 sup flow,actual supply flow,84.0,supply airflow,supply air flow sensor,,rm 2217,vav,2217,,ebu3b,,analog input
506_0_3001803,506,0,3001803,ebu3b rm 4140 sup flow,nae 06 n2 2 vma130 sup flow,actual supply flow,84.0,supply airflow,supply air flow sensor,,rm 4140,vav,4140,,ebu3b,,analog input
505_1_3001188,505,1,3001188,ebu3b rm 1109 rh vlv,nae 05 n2 2 vma 130 rh vlv,reheat valve command,98.0,reheat valve command,reheat valve command,,rm 1109,vav,1109,,ebu3b,,analog output
506_1_3000111,506,1,3000111,ebu3b rm 2217 rh vlv,nae 06 n2 1 vma130 rh vlv,reheat valve command,98.0,reheat valve command,reheat valve command,,rm 2217,vav,2217,,ebu3b,,analog output
506_1_3001804,506,1,3001804,ebu3b rm 4140 rh vlv,nae 06 n2 2 vma130 rh vlv,reheat valve command,98.0,reheat valve command,reheat valve command,,rm 4140,vav,4140,,ebu3b,,analog output
505_1_3001194,505,1,3001194,ebu3b rm 1109 htgflow,nae 05 n2 2 vma 130 htgflow,occupied htg flow,84.0,minimum occupied heating supply airflow,occupied heating supply air flow setpoint,,rm 1109,vav,1109,,ebu3b,,analog output
506_1_3000117,506,1,3000117,ebu3b rm 2217 htgflow,nae 06 n2 1 vma130 htgflow,occupied htg flow,84.0,minimum occupied heating supply airflow,occupied heating supply air flow setpoint,,rm 2217,vav,2217,,ebu3b,,analog output
506_1_3001810,506,1,3001810,ebu3b rm 4140 htgflow,nae 06 n2 2 vma130 htgflow,occupied htg flow,84.0,minimum occupied heating supply airflow,occupied heating supply air flow setpoint,,rm 4140,vav,4140,,ebu3b,,analog output
505_0_3001185,505,0,3001185,ebu3b rm 1109 acthtgsp,nae 05 n2 2 vma 130 acthtgsp,actual heating setpoint,64.0,actual heating setpoint,effective heating temperature setpoint,,rm 1109,vav,1109,,ebu3b,,analog input
506_0_3000108,506,0,3000108,ebu3b rm 2217 acthtgsp,nae 06 n2 1 vma130 acthtgsp,actual heating setpoint,64.0,actual heating setpoint,effective heating temperature setpoint,,rm 2217,vav,2217,,ebu3b,,analog input
506_0_3001801,506,0,3001801,ebu3b rm 4140 acthtgsp,nae 06 n2 2 vma130 acthtgsp,actual heating setpoint,64.0,actual heating setpoint,effective heating temperature setpoint,,rm 4140,vav,4140,,ebu3b,,analog input
505_0_3001184,505,0,3001184,ebu3b rm 1109 actclgsp,nae 05 n2 2 vma 130 actclgsp,actual cooling setpoint,64.0,actual cooling setpoint,effective cooling temperature setpoint,,rm 1109,vav,1109,,ebu3b,,analog input
506_0_3000107,506,0,3000107,ebu3b rm 2217 actclgsp,nae 06 n2 1 vma130 actclgsp,actual cooling setpoint,64.0,actual cooling setpoint,effective cooling temperature setpoint,,rm 2217,vav,2217,,ebu3b,,analog input
506_0_3001800,506,0,3001800,ebu3b rm 4140 actclgsp,nae 06 n2 2 vma130 actclgsp,actual cooling setpoint,64.0,actual cooling setpoint,effective cooling temperature setpoint,,rm 4140,vav,4140,,ebu3b,,analog input
505_1_3001193,505,1,3001193,ebu3b rm 1109 clgminflo,nae 05 n2 2 vma 130 clgminflo,occupied clg min,84.0,minimum occupied cooling supply airflow,occupied cooling min supply air flow setpoint,,rm 1109,vav,1109,,ebu3b,,analog output
506_1_3000116,506,1,3000116,ebu3b rm 2217 clgminflo,nae 06 n2 1 vma130 clgminflo,occupied clg min,84.0,minimum occupied cooling supply airflow,occupied cooling min supply air flow setpoint,,rm 2217,vav,2217,,ebu3b,,analog output
506_1_3001809,506,1,3001809,ebu3b rm 4140 clgminflo,nae 06 n2 2 vma130 clgminflo,occupied clg min,84.0,minimum occupied cooling supply airflow,occupied cooling min supply air flow setpoint,,rm 4140,vav,4140,,ebu3b,,analog output
505_14_3001199,505,14,3001199,ebu3b rm 1109 occ cmd,nae 05 n2 2 vma 130 occ cmd,occupied command,,occupancy command,occupied command,,rm 1109,vav,1109,,ebu3b,,multi state output
506_14_3000122,506,14,3000122,ebu3b rm 2217 occ cmd,nae 06 n2 1 vma130 occ cmd,occupied command,,occupancy command,occupied command,,rm 2217,vav,2217,,ebu3b,,multi state output
506_14_3001816,506,14,3001816,ebu3b rm 4140 occ cmd,nae 06 n2 2 vma130 occ cmd,occupied command,,occupancy command,occupied command,,rm 4140,vav,4140,,ebu3b,,multi state output
505_1_3001196,505,1,3001196,ebu3b rm 1109 htgpid o,nae 05 n2 2 vma 130 htgpid o,heating command,98.0,heating command,heating command,,rm 1109,vav,1109,,ebu3b,,analog output
506_1_3000119,506,1,3000119,ebu3b rm 2217 htgpid o,nae 06 n2 1 vma130 htgpid o,heating command,98.0,heating command,heating command,,rm 2217,vav,2217,,ebu3b,,analog output
506_1_3001812,506,1,3001812,ebu3b rm 4140 htgpid o,nae 06 n2 2 vma130 htgpid o,heating command,98.0,heating command,heating command,,rm 4140,vav,4140,,ebu3b,,analog output
506_4_3001813,506,4,3001813,ebu3b rm 4140 fan c,nae 06 n2 2 vma130 fan c,fan command,,fan command,fan command,,rm 4140,vav,4140,,ebu3b,,binary output
505_0_3001186,505,0,3001186,ebu3b rm 1109 dmpr pos,nae 05 n2 2 vma 130 dmpr pos,damper position,98.0,damper position,damper position sensor,,rm 1109,vav,1109,,ebu3b,,analog input
506_0_3000109,506,0,3000109,ebu3b rm 2217 dmpr pos,nae 06 n2 1 vma130 dmpr pos,damper position,98.0,damper position,damper position sensor,,rm 2217,vav,2217,,ebu3b,,analog input
506_0_3001802,506,0,3001802,ebu3b rm 4140 dmpr pos,nae 06 n2 2 vma130 dmpr pos,damper position,98.0,damper position,damper position sensor,,rm 4140,vav,4140,,ebu3b,,analog input
505_1_3001190,505,1,3001190,ebu3b rm 1109 dpr c,nae 05 n2 2 vma 130 dpr c,damper command,98.0,damper command,damper command,,rm 1109,vav,1109,,ebu3b,,analog output
506_1_3000113,506,1,3000113,ebu3b rm 2217 dpr c,nae 06 n2 1 vma130 dpr c,damper command,98.0,damper command,damper command,,rm 2217,vav,2217,,ebu3b,,analog output
506_1_3001806,506,1,3001806,ebu3b rm 4140 dpr c,nae 06 n2 2 vma130 dpr c,damper command,98.0,damper command,damper command,,rm 4140,vav,4140,,ebu3b,,analog output
505_1_3001192,505,1,3001192,ebu3b rm 1109 clgmaxflo,nae 05 n2 2 vma 130 clgmaxflo,cooling max flow,84.0,maximum supply airflow,cooling max discharge air flow setpoint,,rm 1109,vav,1109,,ebu3b,,analog output
506_1_3000115,506,1,3000115,ebu3b rm 2217 clgmaxflo,nae 06 n2 1 vma130 clgmaxflo,cooling max flow,84.0,maximum supply airflow,cooling max discharge air flow setpoint,,rm 2217,vav,2217,,ebu3b,,analog output
506_1_3001808,506,1,3001808,ebu3b rm 4140 clgmaxflo,nae 06 n2 2 vma130 clgmaxflo,cooling max flow,84.0,maximum supply airflow,cooling max discharge air flow setpoint,,rm 4140,vav,4140,,ebu3b,,analog output
505_1_3001195,505,1,3001195,ebu3b rm 1109 clgpid o,nae 05 n2 2 vma 130 clgpid o,cooling command,98.0,cooling command,cooling command,,rm 1109,vav,1109,,ebu3b,,analog output
506_1_3000118,506,1,3000118,ebu3b rm 2217 clgpid o,nae 06 n2 1 vma130 clgpid o,cooling command,98.0,cooling command,cooling command,,rm 2217,vav,2217,,ebu3b,,analog output
506_1_3001811,506,1,3001811,ebu3b rm 4140 clgpid o,nae 06 n2 2 vma130 clgpid o,cooling command,98.0,cooling command,cooling command,,rm 4140,vav,4140,,ebu3b,,analog output
505_0_3001201,505,0,3001201,ebu3b rm 1116 zn t,nae 05 n2 2 vma 131 zn t,zone temperature,64.0,zone temperature,zone temperature sensor,,rm 1116,vav,1116,,ebu3b,,analog input
506_0_3000124,506,0,3000124,ebu3b rm 2231 zn t,nae 06 n2 1 vma131 zn t,zone temperature,64.0,zone temperature,zone temperature sensor,,rm 2231,vav,2231,,ebu3b,,analog input
506_0_3001818,506,0,3001818,ebu3b rm 4119 zn t,nae 06 n2 2 vma131 zn t,zone temperature,64.0,zone temperature,zone temperature sensor,,rm 4119,vav,4119,,ebu3b,,analog input
505_1_3001209,505,1,3001209,ebu3b rm 1116 commonsp,nae 05 n2 2 vma 131 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm 1116,vav,1116,,ebu3b,,analog output
506_1_3000132,506,1,3000132,ebu3b rm 2231 commonsp,nae 06 n2 1 vma131 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm 2231,vav,2231,,ebu3b,,analog output
506_1_3001826,506,1,3001826,ebu3b rm 4119 commonsp,nae 06 n2 2 vma131 commonsp,common setpoint,64.0,temperature setpoint,temperature setpoint,,rm 4119,vav,4119,,ebu3b,,analog output
505_1_3026043,505,1,3026043,ebu3b rm 1116 w c adj,nae 05 n2 2 vma 131 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm 1116,vav,1116,,ebu3b,,analog output
506_1_3015646,506,1,3015646,ebu3b rm 2231 w c adj,nae 06 n2 1 vma131 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm 2231,vav,2231,,ebu3b,,analog output
506_1_3015747,506,1,3015747,ebu3b rm 4119 w c adj,nae 06 n2 2 vma131 w c adj,warm cool adjust,64.0,warm cool adjust,warm cool adjust sensor,,rm 4119,vav,4119,,ebu3b,,analog output
505_1_3001211,505,1,3001211,ebu3b rm 1116 supflo sp,nae 05 n2 2 vma 131 supflo sp,actual sup flow sp,84.0,supply airflow setpoint,supply air flow setpoint,,rm 1116,vav,1116,,ebu3b,,analog output
506_1_3000134,506,1,3000134,ebu3b rm 2231 supflo sp,nae 06 n2 1 vma131 supflo sp,actual sup flow sp,84.0,supply airflow setpoint,supply air flow setpoint,,rm 2231,vav,2231,,ebu3b,,analog output
506_1_3001828,506,1,3001828,ebu3b rm 4119 supflo sp,nae 06 n2 2 vma131 supflo sp,actual sup flow sp,84.0,supply airflow setpoint,supply air flow setpoint,,rm 4119,vav,4119,,ebu3b,,analog output
505_0_3001207,505,0,3001207,ebu3b rm 1116 sup flow,nae 05 n2 2 vma 131 sup flow,actual supply flow,84.0,supply airflow,supply air flow sensor,,rm 1116,vav,1116,,ebu3b,,analog input
506_0_3000130,506,0,3000130,ebu3b rm 2231 sup flow,nae 06 n2 1 vma131 sup flow,actual supply flow,84.0,supply airflow,supply air flow sensor,,rm 2231,vav,2231,,ebu3b,,analog input
506_0_3001824,506,0,3001824,ebu3b rm 4119 sup flow,nae 06 n2 2 vma131 sup flow,actual supply flow,84.0,supply airflow,supply air flow sensor,,rm 4119,vav,4119,,ebu3b,,analog input
505_1_3001208,505,1,3001208,ebu3b rm 1116 rh vlv,nae 05 n2 2 vma 131 rh vlv,reheat valve command,98.0,reheat valve command,reheat valve command,,rm 1116,vav,1116,,ebu3b,,analog output
506_1_3000131,506,1,3000131,ebu3b rm 2231 rh vlv,nae 06 n2 1 vma131 rh vlv,reheat valve command,98.0,reheat valve command,reheat valve command,,rm 2231,vav,2231,,ebu3b,,analog output
506_1_3001825,506,1,3001825,ebu3b rm 4119 rh vlv,nae 06 n2 2 vma131 rh vlv,reheat valve command,98.0,reheat valve command,reheat valve command,,rm 4119,vav,4119,,ebu3b,,analog output
505_1_3001214,505,1,3001214,ebu3b rm 1116 htgflow,nae 05 n2 2 vma 131 htgflow,occupied htg flow,84.0,minimum occupied heating supply airflow,occupied heating supply air flow setpoint,,rm 1116,vav,1116,,ebu3b,,analog output
506_1_3000137,506,1,3000137,ebu3b rm 2231 htgflow,nae 06 n2 1 vma131 htgflow,occupied htg flow,84.0,minimum occupied heating supply airflow,occupied heating supply air flow setpoint,,rm 2231,vav,2231,,ebu3b,,analog output
506_1_3001831,506,1,3001831,ebu3b rm 4119 htgflow,nae 06 n2 2 vma131 htgflow,occupied htg flow,84.0,minimum occupied heating supply airflow,occupied heating supply air flow setpoint,,rm 4119,vav,4119,,ebu3b,,analog output
505_0_3001205,505,0,3001205,ebu3b rm 1116 acthtgsp,nae 05 n2 2 vma 131 acthtgsp,actual heating setpoint,64.0,actual heating setpoint,effective heating temperature setpoint,,rm 1116,vav,1116,,ebu3b,,analog input
506_0_3000128,506,0,3000128,ebu3b rm 2231 acthtgsp,nae 06 n2 1 vma131 acthtgsp,actual heating setpoint,64.0,actual heating setpoint,effective heating temperature setpoint,,rm 2231,vav,2231,,ebu3b,,analog input
506_0_3001822,506,0,3001822,ebu3b rm 4119 acthtgsp,nae 06 n2 2 vma131 acthtgsp,actual heating setpoint,64.0,actual heating setpoint,effective heating temperature setpoint,,rm 4119,vav,4119,,ebu3b,,analog input
505_0_3001204,505,0,3001204,ebu3b rm 1116 actclgsp,nae 05 n2 2 vma 131 actclgsp,actual cooling setpoint,64.0,actual cooling setpoint,effective cooling temperature setpoint,,rm 1116,vav,1116,,ebu3b,,analog input
506_0_3000127,506,0,3000127,ebu3b rm 2231 actclgsp,nae 06 n2 1 vma131 actclgsp,actual cooling setpoint,64.0,actual cooling setpoint,effective cooling temperature setpoint,,rm 2231,vav,2231,,ebu3b,,analog input
506_0_3001821,506,0,3001821,ebu3b rm 4119 actclgsp,nae 06 n2 2 vma131 actclgsp,actual cooling setpoint,64.0,actual cooling setpoint,effective cooling temperature setpoint,,rm 4119,vav,4119,,ebu3b,,analog input
505_1_3001213,505,1,3001213,ebu3b rm 1116 clgminflo,nae 05 n2 2 vma 131 clgminflo,occupied clg min,84.0,minimum occupied cooling supply airflow,occupied cooling min supply air flow setpoint,,rm 1116,vav,1116,,ebu3b,,analog output
506_1_3000136,506,1,3000136,ebu3b rm 2231 clgminflo,nae 06 n2 1 vma131 clgminflo,occupied clg min,84.0,minimum occupied cooling supply airflow,occupied cooling min supply air flow setpoint,,rm 2231,vav,2231,,ebu3b,,analog output
