bas_raw,point_type,haystack
"CMU/SCSC Gates/Sixth Floor/VAV Room 6019 Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6019 Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6021 Office/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6021 Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6021 Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6021 Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6021 Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6021 Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6021 Office/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6021 Office/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6021 Office/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6021 Office/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6021 Office/Run","Run","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6021 Office/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6021 Office/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6021 Office/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6021 Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6021 Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6023 Office/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6023 Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6023 Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6023 Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6023 Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6023 Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6023 Office/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6023 Office/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6023 Office/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6023 Office/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6023 Office/Run","Run","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6023 Office/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6023 Office/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6023 Office/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6023 Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6023 Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6025 Office/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6025 Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6025 Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6025 Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6025 Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6025 Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6025 Office/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6025 Office/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6025 Office/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6025 Office/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6025 Office/Run","Run","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6025 Office/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6025 Office/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6025 Office/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6025 Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6025 Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6027 Office/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6027 Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6027 Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6027 Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6027 Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6027 Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6027 Office/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6027 Office/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6027 Office/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6027 Office/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6027 Office/Run","Run","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6027 Office/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6027 Office/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6027 Office/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6027 Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6027 Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6029 Office/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6029 Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6029 Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6029 Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6029 Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6029 Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6029 Office/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6029 Office/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6029 Office/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6029 Office/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6029 Office/Run","Run","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6029 Office/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6029 Office/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6029 Office/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6029 Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6029 Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101E Collaborative Common/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101E Collaborative Common/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101E Collaborative Common/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101E Collaborative Common/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101E Collaborative Common/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101E Collaborative Common/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101E Collaborative Common/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101E Collaborative Common/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101E Collaborative Common/Max CO2 Level","Max CO2 Level","max co2"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101E Collaborative Common/PRV Command","PRV Command","vav perimeterHeat valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101E Collaborative Common/RH Valve %","RH Valve %","vav reheat valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101E Collaborative Common/Run","Run","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101E Collaborative Common/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101E Collaborative Common/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101E Collaborative Common/ZCO2_HI","ZCO2_HI","zone co2 max"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101E Collaborative Common/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101E Collaborative Common/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101W Collaborative Common/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101W Collaborative Common/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101W Collaborative Common/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101W Collaborative Common/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101W Collaborative Common/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101W Collaborative Common/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101W Collaborative Common/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101W Collaborative Common/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101W Collaborative Common/Max CO2 Level","Max CO2 Level","max co2"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101W Collaborative Common/PRV Command","PRV Command","vav perimeterHeat valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101W Collaborative Common/RH Valve %","RH Valve %","vav reheat valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101W Collaborative Common/Run","Run","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101W Collaborative Common/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101W Collaborative Common/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101W Collaborative Common/ZCO2_HI","ZCO2_HI","zone co2 max"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101W Collaborative Common/Zone CO2","Zone CO2","vav zone air co2 sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101W Collaborative Common/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6101W Collaborative Common/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6102 Kitchenette/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6102 Kitchenette/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6102 Kitchenette/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6102 Kitchenette/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6102 Kitchenette/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6102 Kitchenette/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6102 Kitchenette/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6102 Kitchenette/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6102 Kitchenette/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6102 Kitchenette/PRV Command","PRV Command","vav perimeterHeat valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6102 Kitchenette/RH Valve %","RH Valve %","vav reheat valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6102 Kitchenette/Run","Run","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6102 Kitchenette/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6102 Kitchenette/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6102 Kitchenette/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6102 Kitchenette/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6102 Kitchenette/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6105 Reception/Mail/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6105 Reception/Mail/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6105 Reception/Mail/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6105 Reception/Mail/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6105 Reception/Mail/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6105 Reception/Mail/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6105 Reception/Mail/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6105 Reception/Mail/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6105 Reception/Mail/PRV Command","PRV Command","vav perimeterHeat valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6105 Reception/Mail/RH Valve %","RH Valve %","vav reheat valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6105 Reception/Mail/Run","Run","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6105 Reception/Mail/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6105 Reception/Mail/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6105 Reception/Mail/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6105 Reception/Mail/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6105 Reception/Mail/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6107 Copy Room/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6107 Copy Room/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6107 Copy Room/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6107 Copy Room/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6107 Copy Room/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6107 Copy Room/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6107 Copy Room/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6107 Copy Room/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6107 Copy Room/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6107 Copy Room/Run","Run","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6107 Copy Room/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6107 Copy Room/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6107 Copy Room/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6107 Copy Room/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6107 Copy Room/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6109 Project Room/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6109 Project Room/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6109 Project Room/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6109 Project Room/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6109 Project Room/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6109 Project Room/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6109 Project Room/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6109 Project Room/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6109 Project Room/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6109 Project Room/Max CO2 Level","Max CO2 Level","max co2"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6109 Project Room/PRV Command","PRV Command","vav perimeterHeat valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6109 Project Room/RH Valve %","RH Valve %","vav reheat valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6109 Project Room/Run","Run","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6109 Project Room/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6109 Project Room/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6109 Project Room/ZCO2_HI","ZCO2_HI","zone co2 max"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6109 Project Room/Zone CO2","Zone CO2","vav zone air co2 sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6109 Project Room/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6109 Project Room/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6109 Project Room/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6111 Project Room/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6111 Project Room/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6111 Project Room/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6111 Project Room/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6111 Project Room/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6111 Project Room/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6111 Project Room/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6111 Project Room/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6111 Project Room/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6111 Project Room/Max CO2 Level","Max CO2 Level","max co2"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6111 Project Room/Run","Run","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6111 Project Room/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6111 Project Room/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6111 Project Room/ZCO2_HI","ZCO2_HI","zone co2 max"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6111 Project Room/Zone CO2","Zone CO2","vav zone air co2 sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6111 Project Room/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6111 Project Room/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6111 Project Room/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6113 T.D. Office/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6113 T.D. Office/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6113 T.D. Office/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6113 T.D. Office/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6113 T.D. Office/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6113 T.D. Office/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6113 T.D. Office/Flow Control _ Flow Input","Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6113 T.D. Office/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6113 T.D. Office/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6113 T.D. Office/Run","Run","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6113 T.D. Office/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6113 T.D. Office/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6113 T.D. Office/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6113 T.D. Office/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6113 T.D. Office/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6115 Conference Master/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6115 Conference Master/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6115 Conference Master/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6115 Conference Master/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6115 Conference Master/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6115 Conference Master/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6115 Conference Master/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6115 Conference Master/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6115 Conference Master/Max CO2 Level","Max CO2 Level","max co2"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6115 Conference Master/PRV Command","PRV Command","vav perimeterHeat valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6115 Conference Master/RH Valve %","RH Valve %","vav reheat valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6115 Conference Master/Run","Run","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6115 Conference Master/Run Request","Run Request","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6115 Conference Master/Schedule","Schedule","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6115 Conference Master/ZCO2_HI","ZCO2_HI","zone co2 max"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6115 Conference Master/Zone CO2","Zone CO2","vav zone air co2 sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6115 Conference Master/Zone Temp _ Zone Temp","Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6115 Conference Master/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6115 Conference Master/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6115 Conference Slave/Airflow","Airflow","vav air flow sensor"
